model,accuracy,macro_f1,balanced_acc,switch_rate,avg_run_length,latency_ms_per_sample,result_dir
LogReg,0.3756302521008403,0.354373855878457,0.4601019018192346,0.6302752293577981,1.5120711562897078,0.0001096739899367,w8_majority_label_smote
HistGBDT,0.542016806722689,0.351355967398619,0.3496615929337947,0.3944954128440367,2.2452830188679247,0.0152472858782857,w8_majority_label_weighted
LogReg,0.381294964028777,0.3482901570444507,0.4377051291595242,0.6651090342679128,1.4479166666666667,0.0001137571875005,w8_dvfs_level_weighted
LinearSVM,0.6364508393285372,0.3437432654490598,0.3727166049284781,0.1879543094496365,4.001919385796545,0.0001050408929586,w8_dvfs_level_weighted
LogReg,0.3663865546218487,0.3437430596446591,0.4446558499807777,0.6247706422018349,1.5236875800256082,0.0001092272810637,w8_majority_label_weighted
LogReg,0.3672268907563025,0.3405967918502737,0.4491988120628897,0.6486238532110091,1.4745972738537794,0.0001124161295592,w8_final_label_weighted
DecisionTree,0.388235294117647,0.3382845118409949,0.3967226321595253,0.6247706422018349,1.5236875800256082,0.0001413915771991,w8_final_label_smote
LogReg,0.3621848739495798,0.3373461259604902,0.4443212950494504,0.6467889908256881,1.4782608695652173,0.000112188514322,w8_final_label_smote
LogReg,0.3678657074340528,0.3372824063733154,0.4279370552304434,0.6630321910695742,1.451949860724234,0.0001421249005943,w8_dvfs_level_smote
kNN,0.3689075630252101,0.3348814825194757,0.4111322327341745,0.634862385321101,1.5025252525252526,0.0874829610809683,w8_final_label_smote
LinearSVM,0.3504201680672268,0.3344890644429815,0.4534290808585635,0.6247706422018349,1.5236875800256082,0.000101174833253,w8_majority_label_smote
LinearSVM,0.3504201680672268,0.3317244648118763,0.457098435253775,0.634862385321101,1.5025252525252526,0.0001049689017236,w8_final_label_smote
kNN,0.6455635491606715,0.3312222148366944,0.3523138880215113,0.1734164070612668,4.22920892494929,0.0832523821853101,w8_dvfs_level_weighted
LinearSVM,0.3539568345323741,0.3307062642391984,0.4342805095396365,0.6593977154724818,1.4590622813156051,0.0001080804038792,w8_dvfs_level_smote
DecisionTree,0.3764705882352941,0.329040535392647,0.3769681084168276,0.6403669724770642,1.4912280701754386,0.0001385232899338,w8_majority_label_smote
RandomForest,0.6834532374100719,0.3269590300425909,0.3610442753254854,0.0425752855659397,8.651452282157676,0.1007698857225477,w8_dvfs_level_weighted
kNN,0.3487394957983193,0.3242604245516513,0.400816294323969,0.673394495412844,1.4268585131894485,0.0860893283970654,w8_majority_label_smote
